,,,,,,,
,,,,,,,
Целью данного проекта было составление баг-репортов на тестовый стенд https://test-stand.gb.ru/seminar_stands/payform/index.html ,,,,,,,
,,,,,,,
Модальное окно оплаты товара,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
1,"Неверное название страницы оплаты товара
",,Открыть сайт https://test-stand.gb.ru/seminar_stands/payform/index.html,Проверить название страницы “Форма оплаты”,Страница называется “Форма оплаты”,"Страница называется ""Страница оплаты товара""",
,,,,,,,
,,,,,,,
,Критичность,trivial,,,,,
,,,,,,,
,Приоритет,Low,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
2,Неверные размеры модального окна,,Открыть сайт https://test-stand.gb.ru/seminar_stands/payform/index.html,Проверить размеры модального окна,Модальное окно имеет размеры 800x900			,"Модальное окно имеет размеры 675x495,3",
,,,,,,,
,,,,,,,
,Критичность,trivial,,,,,
,,,,,,,
,Приоритет,Low,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
3,Не соответствие модального окна макету в ТЗ,,Открыть сайт https://test-stand.gb.ru/seminar_stands/payform/index.html,Просмотреть модальное окно,Макет страницы соответствует ТЗ,"Макет модального окна не соответствует макету, указанному в ТЗ. Указанный макет в ТЗ противоречит описанию макета модального окна в ТЗ. Указан розовый фон и тень, отличается цветовая гамма наушников на картинке макета в ТЗ и на сайте.",Модальное окно в ТЗ                                                        Модальное окно на сайте
,,,,,,,
,,,,,,,
,Критичность,trivial,,,,,
,,,,,,,
,Приоритет,Low,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
Поле ввода имени пользователя,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
4,Поле ввода имени не содержит плейсхолдер “Ваше имя”,,Открыть сайт https://test-stand.gb.ru/seminar_stands/payform/index.html,Просмотреть поле ввода имени пользователя,Поле ввода имени содержит плейсхолдер “Ваше имя”,Поле ввода имени не содержит плейсхолдер “Ваше имя”,
,,,,,,,
,,,,,,,
,Критичность,major,,,,,
,,,,,,,
,Приоритет,Normal,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
5,"При незаполнении поля ввода имени пользователя, в поле отображается крестик ",,Открыть сайт https://test-stand.gb.ru/seminar_stands/payform/index.html,Просмотреть незаполненное поле ввода имени пользователя,"Отображение крестика в случае, если поле не заполнено			","В случае, если поле не заполнено, крестик не отображается, отображается символ ""Шляпа""",
,,,,,,,
,,,,,,,
,Критичность,minor,,,,,
,,,,,,,
,Приоритет,Low,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
6,"Вместо отображения зеленой галочки, когда пользователь ввел имя, отображается значек ракета",,Открыть сайт https://test-stand.gb.ru/seminar_stands/payform/index.html,Ввести данные в поле ввода имени пользователя,"В поле отображается зеленая галочка, когда пользователь ввел имя","Зеленая галочка не отображается, когда пользователь ввел имя, отображается значек ракета",
,,,,,,,
,,,,,,,
,Критичность,minor,,,,,
,,,,,,,
,Приоритет,Low,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
7,Поле ввода принимает значения меньше 3 символов,,Открыть сайт https://test-stand.gb.ru/seminar_stands/payform/index.html,Ввести в поле ввода имени пользователя меньше 3 символов,Валидная длина ввода символов в поле от 3 символов,"Поле ввода принимает значения меньше 3 символов        
  ",Ввод значения меньше 3 символов                                              
,,,,,,,
,,,,,,,
,Критичность,major,,,,,
,,,,,,,
,Приоритет,Normal,Окружение,,,,
