,,,,,,,
Целью данного проекта было составление баг-репорта на тестовый стенд https://test-stand.gb.ru/seminar_stands/umeet/index.html,,,,,,,
,,,,,,,
,,,,,,,
"Блок ""Хедер""",,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
1,"Кнопка ""Купить билеты"" не ведет на отдельную страницу покупки билетов",,"""Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html Проскроллить страницу до хедера сайта""","Выполнить клик на кнопку ""Купить билеты""","Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов.","Кнопка ""Купить билеты"" ведет на https://dzen.ru/?yredirect=true",нет возможности добавить сюда видео
,,,,,,,
,,,,,,,
,Критичность,Критическая,,,,,
,,,,,,,
,Приоритет,Высокий ,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
Блок с описанием конференции,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
2,"Кнопка ""Купить билеты"" не оформлена как кнопка     ",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока с описанием конференции.","Проверить наличие кнопки ""Купить билеты"" в блоке ","Блок содержит кнопку ""Купить билеты""","Есть кликабельная надпись ""Купить билеты"", она не оформлена как копка.",
,,,,,,,
,,,,,,,
,Критичность,Незначительная ,,,,,
,,,,,,,
,Приоритет,Низкий,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
3,"Кнопка ""Купить билеты"" не ведет на отдельную страницу покупки билетов",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока с описанием конференции.","Выполнить клик на кнопку ""Купить билеты""","Выполнить клик на кнопку ""Купить билеты""","Кнопка ""Купить билеты"" ведет на https://dzen.ru/?yredirect=true",нет возможности добавить сюда видео
,,,,,,,
,,,,,,,
,Критичность,Критическая,,,,,
,,,,,,,
,Приоритет,Высокий ,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Блок ""Почему стоит посетить""",,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
4,Отсутствие описания в блоке почему стоит посетить конференцию,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Почему стоит посетить"". ",Проверить наличие описания почему стоит посетить конференцию,"В блоке располагаются поинты (изображение, название, описание) с описанием почему стоит посетить конференцию. ","Под поинтами отсутствует описание, почему стоит посетить конференцию",
,,,,,,,
,,,,,,,
,Критичность,Значительная ,,,,,
,,,,,,,
,Приоритет,Средний,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
5,"Отсутствие кнопки ""Подробнее"" под каждым поинтом",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Почему стоит посетить"". ","Проверить наличие кнопки ""Подробнее"" под каждым поинтом	","Кнопка ""Подробнее"" находится под каждым поинтом","Кнопка ""Подробнее"" под каждым поинтом отсутствует",
,,,,,,,
,,,,,,,
,Критичность,Незначительный,,,,,
,,,,,,,
,Приоритет,Средний,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
6,"Кнопка ""Узнать больше"" неактивна для перехода на страницу с описанием важности конференции",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Почему стоит посетить"". ","Выполнить клик на кнопку ""Узнать больше""","Кнопка ""Узнать больше"" ведет на ленинг с описанием важности конференции","Кнопка ""Узнать больше"" неактивна",нет возможности добавить сюда видео
,,,,,,,
,,,,,,,
,Критичность,Критическая,,,,,
,,,,,,,
,Приоритет,Средний,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
7,"Язык кнопки ""Купить билеты"" не соответствует языку сайта",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Почему стоит посетить"". ","Просмотр кнопки ""Купить билеты""","Язык кнопки ""Купить билеты"" соответствует языку сайта ","Язык кнопки отличается от языка сайта, указана надпись ""Buy ticket""",
,,,,,,,
,,,,,,,
,Критичность,Незначительная,,,,,
,,,,,,,
,Приоритет,Средний,Окружение,,,,
,,,"Windows 11 Домашняя для одного языка, версия 22H2
Браузер Google Chrome версия 111.0.5563.111 (Официальная сборка), (64 бит)",,,,
,,,,,,,
,,,,,,,
,,,,,,,
№,Название,,Предусловие,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложение
