,,,,,
Целью данного проекта было составление тест-кейсов на тестовый стенд https://test-stand.gb.ru/seminar_stands/umeet/index.html,,,,,
,,,,,
"Блок ""Хедер""",,,,,
№,Название,,Предусловие,Шаги,Ожидаемый результат
1,Наличие фонового изображения,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html. 
Проскроллить страницу до хедера сайта",Проверить наличие фонового изображения сайта,Хедер лендинга содержит фоновое изображение
№,Название,,Предусловие,Шаги,Ожидаемый результат
2,Наличие логотипа компании,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html. 
Проскроллить страницу до хедера сайта",Проверить наличие логотипа компании,Хедер лендинга содержит логотип компании
№,Название,,Предусловие,Шаги,Ожидаемый результат
3,Наличие дат проведения конференции,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html. 
Проскроллить страницу до хедера сайта",Проверить наличие дат проведения конференции,Хедер лендинга содержит даты проведения конференции
№,Название,,Предусловие,Шаги,Ожидаемый результат
4,Наличие заголовка конференции,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html. 
Проскроллить страницу до хедера сайта",Проверить наличие заголовка конференции,Хедер лендинга содержит заголовок конференции
№,Название,,Предусловие,Шаги,Ожидаемый результат
5,"Наличие кнопки ""Купить билеты""",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html. 
Проскроллить страницу до хедера сайта","Проверить наличие кнопки ""Купить билеты"" в хедере лендинга","Хедер лендинга содержит кнопку ""Купить билеты"""
№,Название,,Предусловие,Шаги,Ожидаемый результат
6,"Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html. 
Проскроллить страницу до хедера сайта","Выполнить клик на кнопку ""Купить билеты""","Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов."
Блок с описанием конференции				,,,,,
№,Название,,Предусловие,Шаги,Ожидаемый результат
7,"Наличие блока с описанием конференции под блоком ""Хедер""",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока с описанием конференции.","Проверить наличие блока с описанием конференции под блоком ""Хедер""","Под блоком ""Хедер"" располагается блок с описанием конференции"
№,Название,,Предусловие,Шаги,Ожидаемый результат
8,"Наличие каунтера обратного отсчета до начала конференции под блоком ""Хедер""",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока с описанием конференции.","Проверить наличие каунтера обратного отсчета до начала конференции под блоком ""Хедер""","Под блоком ""Хедер"" располагается каунтера обратного отсчета до начала конференции"
№,Название,,Предусловие,Шаги,Ожидаемый результат
9,Наличие дат проведения конференции под каунтером,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока с описанием конференции.",Проверить наличие дат проведения конференции под каунтером,Под каунтером находятся даты проведения конференции
№,Название,,Предусловие,Шаги,Ожидаемый результат
10,"Наличие кнопки ""Купить билеты""",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока с описанием конференции.","Проверить наличие кнопки ""Купить билеты"" в блоке ","Блок содержит кнопку ""Купить билеты"""
№,Название,,Предусловие,Шаги,Ожидаемый результат
11,"Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока с описанием конференции.","Выполнить клик на кнопку ""Купить билеты""","Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов."
"Блок ""Почему стоит посетить""",,,,,
№,Название,,Предусловие,Шаги,Ожидаемый результат
12,"Наличие заголовка ""Почему стоит посетить""",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Почему стоит посетить"". ","Проверить наличие заголовка ""Почему стоит посетить""","Блок ""Почему стоит посетить"" имеет заголовок ""Почему стоит посетить"". "
№,Название,,Предусловие,Шаги,Ожидаемый результат
13,"Наличие поинтов (изображение, название, описание) ",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Почему стоит посетить"". ","Проверить наличие поинтов (изображение, название, описание)","В блоке располагаются поинты (изображение, название, описание)."
№,Название,,Предусловие,Шаги,Ожидаемый результат
14,Наличие описания почему стоит посетить конференцию,,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Почему стоит посетить"". ",Проверить наличие описания почему стоит посетить конференцию	,"В блоке располагаются поинты (изображение, название, описание) с описанием почему стоит посетить конференцию. "
№,Название,,Предусловие,Шаги,Ожидаемый результат
15,"Наличие кнопки ""Подробнее"" под каждым поинтом",,"Открыт сайт https://test-stand.gb.ru/seminar_stands/umeet/index.html.
Проскроллить страницу до блока ""Почему стоит посетить"". ","Проверить наличие кнопки ""Подробнее"" под каждым поинтом	","Кнопка ""Подробнее"" находится под каждым поинтом"
№,Название,,Предусловие,Шаги,Ожидаемый результат
