,,,,,,,
,,,,,,,
,Целью данного проекта было составление чек-листа на тестовый стенд https://test-stand.gb.ru/seminar_stands/payform/index.html ,,,,,,
,,,,,,,
,№,Проверка,,,,Статус,Комментарий
,Модальное окно оплаты товара,,,,,,
,1,Проверить название страницы “Форма оплаты”,,,,failed,"Страница называется ""Страница оплаты товара"""
,2,Поддержка мобильной версии сайта,,,,passed,
,3,Модальное окно имеет размеры 800x900,,,,failed,"Модальное окно имеет размеры 675x495,3"
,4,Модальное окно имеет тень,,,,passed,
,5,Макет страницы соответствует ТЗ ,,,,failed,"Макет страницы не соответствует ТЗ, фон в ТЗ белый, отличается цветовая гамма картинки наушников"
,Поле ввода имени пользователя,,,,,,
,6,Поле ввода имени содержит плейсхолдер “Ваше имя”,,,,failed,Поле ввода имени не содержит плейсхолдер “Ваше имя”
,7,Плейсхолдер скрывается при вводе текста ,,,,passed,
,8,"Отображение крестика в случае, если поле не заполнено",,,,failed,"В случае, если поле не заполнено, крестик не отображается, отображается символ Шляпа"
,9,"Подсвечивание поля красным, если оно не заполнено",,,,passed,
,10,"Подсвечивание поля зеленым, когда пользователь ввел имя ",,,,passed,
,11,"Отображение зеленой галочки, когда пользователь ввел имя",,,,failed,"Зеленая галочка не отображается, когда пользователь ввел имя"
,12,"Отображаение тултипа, если пользователь ничего не ввел и нажал кнопку оплатить ",,,,passed,
,13,"Отображаение надписи ""Заполните это поле"" в тултипе, если пользователь ничего не ввел и нажал кнопку оплатить ",,,,passed,
,14,Валидная длина ввода символов в поле не меньше 3 символов,,,,failed,Поле принимает значения <3 символов
,15,Валидная длина ввода символов в поле не больше 40 символов,,,,failed,Поле принимает значения >40 символов
,16,"Для ввода принимаются только буквы, тире и пробелы",,,,failed,Поле допускает ввод спецсимволов
,17,Допустим ввод только латиницей,,,,failed,Поле допускает ввод кириллицей
,Определение типа карты,,,,,,
,18,"Если карта начинается с цифры 34, показывается иконка карты AMERICAN_EXPRESS",,,,passed,
,19,"Если карта начинается с цифры 37, показывается иконка карты AMERICAN_EXPRESS",,,,passed,
,20,"Если карта начинается с цифры 4, показывается иконка карты VISA",,,,failed,"Не показывается иконка карты, иконка VISA показывается при вводе 1"
,21,"Если карта начинается с цифры 5, показывается иконка карты MASTERCARD",,,,failed,Не показывается иконка карты
,22,"Если карта начинается с цифры 69, показывается иконка карты DINERS_CLUB",,,,failed,"Показывается иконка карты MAESTRO, если номер карты начинается с 6"
,23,"Если карта начинается с цифры 60, показывается иконка карты DISCOVER",,,,passed,
,24,"Если карта начинается с цифры 3, показывается иконка карты JCB",,,,failed,Показывается иконка карты AMERICAN_EXPRESS
,25,"Если карта начинается с цифры 62, показывается иконка карты UNIONPAY",,,,failed,Показывается иконка карты MAESTRO
,26,"Если карта начинается с цифры 55, показывается иконка карты MAESTRO",,,,failed,"Не показывается иконка карты, при вводе 9 показывается иконка карты MAESTRO"
,27,Допустимая длина до 19 символов в зависимости от платежной системы карты,,,,failed,Поле принимает значения >19 символов 
,28,Допустимая длина от 12 символов в зависимости от платежной системы карты,,,,failed,Поле принимает значения <12 символов
,29,На ввод доступны только цифры,,,,failed,"На ввод принимаются буквы, цифры и спецсимволы"
,Поле срок годности,,,,,,
,30,Поле срок годности (число и дата) являются обязательными для заполнения,,,,passed,
,31,Поле срок годности содержит поле число ,,,,failed,Поле срок годности содержит поле MM
,32,Поле срок годности содержит поле дата,,,,failed,Поле срок годности содержит поле YY
,33,Поле срок годности содержит поле СVC,,,,passed,
,34,Допустимая длина для полей дат 2 символа ,,,,passed,
,35,На ввод допускаются только цифры,,,,failed,Поле допускает ввод букв и спец.символов
,36,"При вводе месяца до 10, перед его номером указывается 0",,,,failed,Поле принимает значения без 0 
,37,Поле ввода месяца принимает значения от 01 до 12,,,,failed,Поле принимает значения <01 и >12 
,38,Поле ввода года принимает значения от текущего года до текущего года + 10 лет,,,,failed,Поле ввода года принимает любые значения года
,39,Подсвечиваение поля оранжевым цветом при нахождении в нем курсора,,,,passed,
,40,Для поля CVC принимаются только цифры,,,,failed,Поле допускает ввод букв и спец.символов
,41,Длина CVC для всех карт равна 3 символам,,,,failed,Для ввода доступны только 2 символа для всех типов карт
,42,Допустимые значения поля CVC от 001 до 999,,,,failed,Поле принимает только два значения
,Чекбокс сохранения карты для покупок,,,,,,
,43,Чекбокс имеет два состояния,,,,failed,Чекбокс имеет только одно состояние
,44,"Чекбокс имеет состояние ""активен"", тогда карта сохраняется для покупок",,,,passed,
,45,"Чекбокс имеет состояние ""неактивен"", тогда карта не сохраняется для покупок",,,,blocked,"Невозможно протестировать пункт чек-листа, так как чекбокс имеет только состояние ""Активен"""
,Кнопка оплаты,,,,,,
,46,Смена цвета кнопки оплаты на зеленый при заполнении всех полей,,,,failed,"При заполнении всех полей кнопка оплаты не меняет свой цвет на зеленый, так как она изначально зеленого цвета"
,47,Смена состояния кнопки оплаты на активное при заполнении всех полей,,,,failed,"При заполнении всех полей кнопка оплаты не меняет свое состояние на активное, так как она изначально активна для клика"
,48,На кнопке отображается сумма для оплаты,,,,passed,
,49,На кнопке отображается сумма для оплаты в формате NN рубля/рублей/рубль ,,,,failed,"Указано неверное склонение слова ""рубль"", вместо 572 рубля указано 572 рублей"
,50,На кнопке отображается сумма для оплаты в формате NN копеек/копейка,,,,passed,
,51,"При наведении курсора на кнопку, кнопка увеличивается в размере",,,,passed,
,52,При заполнении всех полей не в соответствии с требованиями система просит ввести данные в указанном формате,,,,passed,
,53,При заполнении всех полей в соответствии с требованиями происходит оплата товара,,,,failed,При заполнении всех полей в соответствии с требованиями система просит ввести данные в указанном формате
